name,specie,esd,opt,group
Aurelia aurita,Aurelia aurita,16201.8517460196,2345.20787991171,Jellyfish
Aurelia aurita,Aurelia aurita,21378.8869030305,424.667067731039,Jellyfish
Balaena mysticetus,Balaena mysticetus,3923440.99769132,6218.23492826382,Mammals
Balaenoptera acutorostrata,Balaenoptera acutorostrata,2292629.05787855,5758.82382296972,Mammals
Balaenoptera borealis,Balaenoptera borealis,3365119.25208321,3365.11925208321,Mammals
Balaenoptera edeni,Balaenoptera edeni,3365119.25208321,72499.2965278222,Mammals
Balaenoptera musculus,Balaenoptera musculus,6714295.62905789,9855.23820692924,Mammals
Balaenoptera physalus,Balaenoptera physalus,4574396.36138768,5333.35459444652,Mammals
Balanion comatum,Balanion comatum,17,6.32455532033676,Plankton
Balanus flosculus nauplii,Balanus flosculus,860,20,Invertebrate
Bassia bassensis,Bassia bassensis,400,692.820323027551,Jellyfish
Bathypanoploea schellenbergi,Bathypanoploea schellenbergi,19189.678582679,10963.5236086462,Invertebrate
Benthosema glaciale,Benthosema glaciale,1631.46657239152,83.1478737999098,Fish
Berardius arnuxii,Berardius arnuxii,4574396.36138768,106414.414346653,Mammals
Berardius bairdii,Berardius bairdii,2475523.91312804,106414.414346653,Mammals
Beroe cucumis,Beroe cucumis,5616.58652356287,1344.14874465889,Jellyfish
Bodo,Bodo sp.,4.4,1.4,Plankton
Bodo,Bodo sp.,4.9,1.4,Plankton
Bodo,Bodo sp.,3.4,1.3,Plankton
Bodonid,Bodonid sp.,4.64327470649756,0.848528137423857,Plankton
Bodonid,Bodonid sp.,4.64327470649756,0.848528137423857,Invertebrate
Bolinopsis infudibulum,Bolinopsis infudibulum,18973.6659610103,2345.20787991171,Jellyfish
Bosmina longispina,Bosmina longispina,460,3.57770876399966,Invertebrate
Bowmaniella dissimilis,Bowmaniella dissimilis,1820.51150767554,424.667067731039,Invertebrate
Brachionus angularis,Brachionus angularis,66,3.5,Invertebrate
Brachionus angularis,Brachionus angularis,118.321595661992,3.46410161513775,Invertebrate
Brachionus B,Brachionus B,126,6,Invertebrate
Brachionus calyciflorus,Brachionus calyciflorus,250.399680510978,7.34846922834953,Invertebrate
Brachionus calyciflorus,Brachionus calyciflorus,139,8.8,Invertebrate
Brachionus F,Brachionus F,83,6.1,Invertebrate
Brachionus rubens B,Brachionus rubens,228.035085019828,4.24264068711929,Invertebrate
Brachionus rubens F,Brachionus rubens,146.969384566991,3.46410161513775,Invertebrate
Calanoides acutus,Calanoides acutus,2190.0533228654,1952.93892467575,Invertebrate
Calanus finmarchicus,Calanus finmarchicus,855,80,Invertebrate
Calanus finnmarchicus,Calanus finnmarchicus,737.439567986421,890.705978299812,Invertebrate
Calanus helgolandicus,Calanus helgolandicus,737.439567986421,616.480222073676,Invertebrate
Calanus pacificus C1,Calanus pacificus,289,28.7,Invertebrate
Calanus pacificus N5,Calanus pacificus,237,28.7,Invertebrate
Calanus propinquus,Calanus propinquus,2216.28399975228,2190.0533228654,Invertebrate
Callianira antarctica,Callianira antarctica,22032.4673341026,943.665370360165,Jellyfish
Callorhinus ursinus,Callorhinus ursinus,2886248.98078103,78282.939676974,Mammals
Canuella elongata,Canuella elongata,424.667067731039,424.667067731039,Invertebrate
Caperea marginata,Caperea marginata,457439.636138768,2475.52391312804,Mammals
Caprella fretensis,Caprella fretensis,2557.35215102886,640.794357169306,Invertebrate
Caprella linearis,Caprella linearis,3695.95689469996,563.92626615601,Invertebrate
Caprella penantis,Caprella penantis,4041.92697217237,424.667067731039,Invertebrate
Carangoides sp.,Carangoides sp.,1911.31335867898,164.760645198199,Fish
Carangoides sp.,Carangoides sp.,1911.31335867898,164.760645198199,Fish
Carcharhinus isodon ,Carcharhinus isodon,218310.275486686,36554.8214521992,Fish
Carcharhinus limbatus,Carcharhinus limbatus,200178.250518496,36792.4368297071,Fish
Centropages furcatus,Centropages furcatus,424.667067731039,424.667067731039,Invertebrate
Centropages hamatus,Centropages hamatus,424.667067731039,424.667067731039,Invertebrate
Centropages typicus,Centropages typicus,559,32,Invertebrate
Cephalorhynchus commersonii,Cephalorhynchus commersonii,3923440.99769132,78282.939676974,Mammals
Cephalorhynchus heavisidii,Cephalorhynchus heavisidii,533335.459444651,98552.3820692924,Mammals
Cephalorhynchus hectori,Cephalorhynchus hectori,533335.459444651,114903.641525165,Mammals
Ceratoscopelus maderensis,Ceratoscopelus maderensis,1565.89012176925,60.3852690444299,Fish
Chaoborys punctipennis,Chaoborys punctipennis,737.462980252866,91.4156299468167,Invertebrate
Chelophyes appendiculata,Chelophyes appendiculata,400,400,Jellyfish
Chionodraco rastrospinosus,Chionodraco rastrospinosus,5885.58659375564,3564.42806646111,Fish
Chorismus antarcticus,Chorismus antarcticus,7374.62980252866,9646.42544023908,Invertebrate
Chrysaora quinquecirrha,Chrysaora quinquecirrha,31622.7766016838,5477.22557505166,Jellyfish
Chrysaora quinquecirrha,Chrysaora quinquecirrha,5000,15811.3883008419,Jellyfish
Chrysaora quinquecirrha,Chrysaora quinquecirrha,10666.7091901272,424.667067731039,Jellyfish
Chrysaora quinquecirrha,Chrysaora quinquecirrha,46957.4275274956,3162.27766016838,Jellyfish
Chrysomonad,Chrysomonad sp.,3.4,0.848528137423857,Plankton
Clio pyramidata,Clio pyramidata,3190.19159401085,2203.24673341026,Invertebrate
Clione limacina,Clione limacina,4592.14224936319,424.667067731039,Invertebrate
Clupea harengus,Clupea harengus,60871.9328164516,8076.13919075489,Fish
Clupea pallasii,Clupea pallasii,17126.7710401857,255.687021865958,Fish
Clytemnestra rostrata,Clytemnestra rostrata,424.667067731039,424.667067731039,Invertebrate
Cochlodinium polykrikoides,Cochlodinium polykrikoides,25.8,5.6,Plankton
Colomastix pusilla,Colomastix pusilla,1310.11213614931,15464.899488884,Invertebrate
Conchoecia antipoda,Conchoecia antipoda,943.665370360165,1637.73289129262,Invertebrate
Conchoecia hettacra,Conchoecia hettacra,943.665370360165,1637.73289129262,Invertebrate
Concholepas concholepas,Concholepas concholepas,1700,24.4948974278318,Invertebrate
Concholepas concholepas,Concholepas concholepas,247,20,Invertebrate
Corycaeus amazonicus,Corycaeus amazonicus,424.667067731039,424.667067731039,Invertebrate
Corycaeus speciosus,Corycaeus speciosus,424.667067731039,424.667067731039,Invertebrate
Corycaeus venustus,Corycaeus venustus,424.667067731039,424.667067731039,Invertebrate
Crangon crangon,Crangon crangon,16289.4121108199,2281.22735315674,Invertebrate
Crangonyx pseudogracilis,Crangonyx pseudogracilis,1610.59049516988,837.219953664176,Invertebrate
Crassotrea virginica,Crassotrea virginica,274.59060435492,7.74596669241483,Invertebrate
Crassotrea virginica,Crassotrea virginica,211.329127192633,4.24264068711929,Invertebrate
Crassotrea virginica,Crassotrea virginica,114.647285183732,4,Invertebrate
Cyanaea capilata,Cyanaea capilata,99297.5326984513,8944.27190999916,Jellyfish
Cyanea capillata,Cyanea capillata,10666.7091901272,1310.11510338598,Jellyfish
Cyclops bicuspidatus,Cyclops bicuspidatus,390.796320898386,410.049411747408,Invertebrate
Cyclops scutifer,Cyclops scutifer,349.743618236094,151.757730259811,Invertebrate
Cyclops varians rubellus,Cyclops varians,359.857369777155,70.0526594964442,Invertebrate
Cyclops vernalis,Cyclops vernalis,349.743618236094,160.874035846574,Invertebrate
Cyclosalpa affinis,Cyclosalpa affinis,13700,11.747340124471,Jellyfish
Cyclosalpa bakeri,Cyclosalpa bakeri,31622.7766016838,22.360679774998,Jellyfish
Cyllopus lucasii,Cyllopus lucasii,8486.27534357644,1536.68549839116,Invertebrate
Cynoglossus sp.,Cynoglossus sp.,1133.18726137329,109.941569873093,Fish
Cynoscion regalis,Cynoscion regalis,72218.884732413,13899.7139250306,Fish
Cystophora cristata,Cystophora cristata,457439.636138768,6218.23492826382,Mammals
Daphnia cuculata,Daphnia cuculata,284,7,Invertebrate
Daphnia cucullata,Daphnia cucullata,678.574977434329,19.3649167310371,Invertebrate
Daphnia cucullata,Daphnia cucullata,810,11.1803398874989,Invertebrate
Daphnia longispina,Daphnia longispina,297,6,Invertebrate
Daphnia longispina adults,Daphnia longispina,2400,3.87298334620742,Invertebrate
Daphnia longispina juveniles,Daphnia longispina,700,2.82842712474619,Invertebrate
Delphinapterus leucas,Delphinapterus leucas,912712.06736076,6218.23492826382,Mammals
Delphinus delphis,Delphinus delphis,3116499.96174102,84527.9738971949,Mammals
Desmonema glaciale,Desmonema glaciale,53460.184702879,5611.09605663569,Jellyfish
Diacyclops thomasi,Diacyclops thomasi,510.352452090453,424.667067731039,Invertebrate
Diaphus garmani,Diaphus garmani,1926.11571998889,137.471295456949,Fish
Diaptomus graciloides,Diaptomus graciloides,325,31,Invertebrate
Diaptomus sicilis,Diaptomus sicilis,398,14.1,Invertebrate
Dicata odhneri,Dicata odhneri,2557.35215102886,5346.65323460896,Invertebrate
Dicentrarchus labrax,Dicentrarchus labrax,7897.29982648137,646.556376516353,Fish
Dimophyes arctica,Dimophyes arctica,6592.20765050887,1588.81582727107,Jellyfish
Dinophysis acuminata,Dinophysis acuminata,35,22,Plankton
Diosaccus tenuicornis,Diosaccus tenuicornis,424.667067731039,424.667067731039,Invertebrate
Diphyes antarctica,Diphyes antarctica,6592.20765050887,1588.81582727107,Jellyfish
Diphyes dispar,Diphyes dispar,900,600,Jellyfish
Diplopsalis lenticula,Diplopsalis lenticula,31,35.2,Plankton
Dipulmaris antarctica,Dipulmaris antarctica,16136.4508502764,3190.19159401085,Jellyfish
Dolioletta gegenbauri,Dolioletta gegenbauri,10000,14.282856857086,Jellyfish
Doliolum denticulatum,Doliolum denticulatum,1480,8.660254037844,Jellyfish
Dytiscus marginalis,Dytiscus marginalis,21242.8097542217,7816.96840257118,Invertebrate
Ectinosoma compressum,Ectinosoma compressum,424.667067731039,424.667067731039,Invertebrate
Ectocyclops phaleratus,Ectocyclops phaleratus,424.667067731039,424.667067731039,Invertebrate
Enhydra lutris,Enhydra lutris,533335.459444651,72499.2965278222,Mammals
Epimeria georgiana,Epimeria georgiana,15366.8549839116,1637.73289129262,Invertebrate
Epimeria macrodonta,Epimeria macrodonta,13540.9222154214,12807.5095273809,Invertebrate
Epimeria robusta,Epimeria robusta,15366.8549839116,2990.26587343699,Invertebrate
Epimeria rubrieques,Epimeria rubrieques,26730.0923514395,3190.19159401085,Invertebrate
Epimeria similis,Epimeria similis,19189.678582679,16377.3289129262,Invertebrate
Epimeriella walkeri,Epimeriella walkeri,11171.4122687261,13184.4153010177,Invertebrate
Epishura lacustris,Epishura lacustris,615.347446553276,112.524407558469,Invertebrate
Ergasilus versicolor,Ergasilus versicolor,689.84497523783,424.667067731039,Invertebrate
Erignathus barbatus,Erignathus barbatus,363357.218667025,7249.92965278222,Mammals
Eschrichtius robustus,Eschrichtius robustus,845279.738971949,1240.7009817988,Mammals
Eubalaena glacialis,Eubalaena glacialis,3116499.96174102,533.335459444652,Mammals
Eucalanus pileatus,Eucalanus pileatus,424.667067731039,424.667067731039,Invertebrate
Euchaetomera antarcticus,Euchaetomera antarcticus,5433.67369666554,1637.73289129262,Invertebrate
Eucopia australis,Eucopia australis,20782.5936032572,1637.73289129262,Invertebrate
Eucyclops agilis,Eucyclops agilis,267.300923514395,267.300923514395,Invertebrate
Eumetopias jubatus,Eumetopias jubatus,4236434.14016534,72499.2965278222,Mammals
Euphausia frigida,Euphausia frigida,6873.0594379851,2203.24673341026,Invertebrate
Euphausia superba,Euphausia superba,21900.533228654,2203.24673341026,Invertebrate
Eurytemora affinis,Eurytemora affinis,424.667067731039,424.667067731039,Invertebrate
Eurytemora americana,Eurytemora americana,424.667067731039,424.667067731039,Invertebrate
Eurytemora herdmani,Eurytemora herdmani,381,16,Invertebrate
Eurythenes gryllus,Eurythenes gryllus,45707.8149734083,13184.4153010177,Invertebrate
Eusirus perdentatus,Eusirus perdentatus,33106.8854540285,11171.4122687261,Invertebrate
Euterpina acutifrons,Euterpina acutifrons,424.667067731039,424.667067731039,Invertebrate
Evadne nordmanni,Evadne nordmanni,689.303271427026,14.4913767461894,Invertebrate
Evadne nordmanni,Evadne nordmanni,563.92626615601,616.480222073676,Invertebrate
Farranula gracilis,Farranula gracilis,424.667067731039,424.667067731039,Invertebrate
Favella ehrenbergii,Favella ehrenbergii,130,16.062378404209,Plankton
Favella taraikansis,Favella taraikansis,79,14.6628782986152,Plankton
Feresa attenuata,Feresa attenuata,1686554.80877746,78282.939676974,Mammals
Forskalia spp,Forskalia spp,2500,748.331477354788,Jellyfish
Forskalia spp,Forskalia spp,2500,748.331477354788,Jellyfish
Fragilidium cf. mexicanum,Fragilidium cf.,54.5,37.9,Plankton
Fragilidium subglobosum,Fragilidium subglobosum,45,59.5,Plankton
Gadus morhua,Gadus morhua,152481.274781753,26730.0923514395,Fish
Gammarellus angulosus,Gammarellus angulosus,2826.77987998711,616.480222073676,Invertebrate
Gammaropsis maculata,Gammaropsis maculata,2128.29408362841,616.480222073676,Invertebrate
Gammarus pulex,Gammarus pulex,1915.8424598454,650.947424817851,Invertebrate
Gasterosteus aculeatus,Gasterosteus aculeatus,17130.8503205194,646.083936803707,Fish
Gilbertidia sigalutes,Gilbertidia sigalutes,7773.70113007769,382.766511692596,Fish
Gitana sarsi,Gitana sarsi,937.527453840302,616.480222073676,Invertebrate
Globicephala melas,Globicephala melas,671429.562905789,72499.2965278222,Mammals
Gonatus antarcticus,Gonatus antarcticus,117527.663190338,37221.029453964,Invertebrate
Gonyaulax polygrama,Gonyaulax polygrama,32.5,5.6,Plankton
Gymnodinium catenatum,Gymnodinium catenatum,33.9,5.6,Plankton
Gymnodinium gracilentum,Gymnodinium gracilentum,9.1,8.5,Plankton
Gymnodinium smaydae,Gymnodinium smaydae,10.5,9.5,Plankton
Gymnodinium sp.,Gymnodinium sp.,6,8,Plankton
Gyrodinium auroleum,Gyrodinium auroleum,19.4,5.6,Plankton
Gyrodinium dominans,Gyrodinium dominans,20,12.1,Plankton
Gyrodinium dominans,Gyrodinium dominans,20,5.4,Plankton
Gyrodinium dominans,Gyrodinium dominans,25,10.9,Plankton
Gyrodinium fusiforme,Gyrodinium fusiforme,16.1,10.9,Plankton
Gyrodinium galatheanum,Gyrodinium galatheanum,11,5.6,Plankton
Gyrodinium moestrupii,Gyrodinium moestrupii,18.4,21.9,Plankton
Gyrodinium spirale,Gyrodinium spirale,31.8,12.1,Plankton
Gyrodinium spirale,Gyrodinium spirale,28,32,Plankton
Halichoerus grypus,Halichoerus grypus,1339678.10402195,267300.923514395,Mammals
Halicyclops magniceps,Halicyclops magniceps,424.667067731039,424.667067731039,Invertebrate
Halteria cf. Grandinella,Halteria cf.,19.3,1.4543039572249,Plankton
Harpacticus chelifer,Harpacticus chelifer,424.667067731039,424.667067731039,Invertebrate
Harpacticus gracilis,Harpacticus gracilis,424.667067731039,424.667067731039,Invertebrate
Hemitripterus americanus,Hemitripterus americanus,98085.6355656716,32076.1108217274,Fish
Heterocapsa steinii,Heterocapsa steinii,25,10.9,Plankton
Heterocapsa triquetra,Heterocapsa triquetra,15,5.6,Plankton
Heteromysis formosa,Heteromysis formosa,1820.51150767554,424.667067731039,Invertebrate
Heterophoxus videns,Heterophoxus videns,3897.51405962576,16377.3289129262,Invertebrate
Hexagrammos decagrammus,Hexagrammos decagrammus,12589.1862131223,417.985994028805,Fish
Hippopodius hippopus,Hippopodius hippopus,3300,1122.49721603218,Jellyfish
Hydroporus erythrocephalus,Hydroporus erythrocephalus,4490.14025006013,4383.42239767513,Invertebrate
Hydrurga leptonyx,Hydrurga leptonyx,533335.459444651,457439.636138768,Mammals
Hygophum benoiti,Hygophum benoiti,1988.87856184938,118.511703180096,Fish
Hyperia galba,Hyperia galba,2418.00934861342,616.480222073676,Invertebrate
Hyperia macrocephala,Hyperia macrocephala,9291.45132338793,6442.33253015115,Invertebrate
Hyperiella dilatata,Hyperiella dilatata,2216.28399975228,2190.0533228654,Invertebrate
Hyperoodon ampullatus,Hyperoodon ampullatus,845279.738971949,57588.2382296972,Mammals
Illybius fuliginosus,Illybius fuliginosus,10747.4370846897,7332.24593664384,Invertebrate
Iphimedia minuta,Iphimedia minuta,1488.46772539981,15464.899488884,Invertebrate
Iphimedia nexa,Iphimedia nexa,2557.35215102886,15464.899488884,Invertebrate
Iphimedia perplexa,Iphimedia perplexa,1820.50901056818,15464.899488884,Invertebrate
Jehlius cirratus nuplii,Jehlius cirratus,460,21.9089023002066,Invertebrate
Karlodinium armiger,Karlodinium armiger,16.7,10.7,Plankton
Karlodinium armiger,Karlodinium armiger,14.9,9.8,Plankton
Karlodinium veneficum,Karlodinium veneficum,11,6.6,Plankton
Katodinium glaucum,Katodinium glaucum,21.5,10.9,Plankton
Kogia breviceps,Kogia breviceps,2292629.05787855,72499.2965278222,Mammals
Labidocera aestiva,Labidocera aestiva,424.667067731039,424.667067731039,Invertebrate
Labidocera wollastoni,Labidocera wollastoni,424.667067731039,424.667067731039,Invertebrate
Lagenorhynchus obliquidens,Lagenorhynchus obliquidens,912712.06736076,57588.2382296972,Mammals
Lampanyctus crocodilus,Lampanyctus crocodilus,1264.55707802187,86.8954647211419,Fish
Lebbeus polaris,Lebbeus polaris,4592.14224936319,737.439567986421,Invertebrate
Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,94669.3956593584,22966.9466112342,Fish
Leptodora kindtii,Leptodora kindtii,2057.41581307297,349.743618236094,Invertebrate
Leptonychotes weddellii,Leptonychotes weddellii,621823.492826381,62182.3492826381,Mammals
Liljeborgia georgiana,Liljeborgia georgiana,10406.0153720115,13184.4153010177,Invertebrate
Limacina helicina,Limacina helicina,2128.2883212486,424.667067731039,Invertebrate
Limacina helicina antarctica,Limacina helicina,564.126381952139,2203.24673341026,Invertebrate
Lingulodinium polyedra,Lingulodinium polyedra,36.6,12.1,Plankton
Lingulodinium polyedrum,Lingulodinium polyedrum,36.6,25.1,Plankton
Liriope tetraphylla,Liriope tetraphylla,4592.14224936319,689.84497523783,Invertebrate
Lissodelphis borealis,Lissodelphis borealis,912712.06736076,45743.9636138768,Mammals
Lobodon carcinophaga,Lobodon carcinophaga,621823.492826381,31164.9996174102,Mammals
Lohmaniella spiralis,Lohmaniella spiralis,66,9.7,Plankton
Lohmanniella oviformis,Lohmanniella oviformis,25,3.95979797464467,Plankton
Loligo pealeii,Loligo pealeii,48617.6313711829,9138.9721509554,Fish
Lontra canadensis,Lontra canadensis,782829.396769739,57588.2382296972,Mammals
Lophius americanus,Lophius americanus,165629.627407806,50787.1754677351,Fish
Lophius budegassa,Lophius budegassa,75931.9017922341,29722.8760148323,Fish
Lophius piscatorius,Lophius piscatorius,113366.299699933,53991.7118420953,Fish
Luciella masanensis,Luciella masanensis,13.5,6.1,Plankton
Lumbrinereis,Lumbrinereis sp.,17930.117302699,9888.60445408933,Invertebrate
Lumpenella longirostris,Lumpenella longirostris,3047.40603102771,170.596179922546,Fish
Lumpenus sagitta,Lumpenus sagitta,2757.11857734324,188.64903614176,Fish
Lyrocteis flavopallidus,Lyrocteis flavopallidus,7132.66225010711,943.665370360165,Jellyfish
Martialia hyadesi,Martialia hyadesi,85737.6888612011,41528.3059207708,Invertebrate
Mediomastus fragile,Mediomastus fragile,148,6.9,Invertebrate
Megaptera novaeangliae,Megaptera novaeangliae,267300.923514395,9855.23820692924,Mammals
Melphidippa antarctica,Melphidippa antarctica,9646.42544023908,15366.8549839116,Invertebrate
Mercenaria mercenaria,Mercenaria mercenaria,100,4.1,Invertebrate
Merlangius merlangus,Merlangius merlangus,81281.2023970053,28024.7118996212,Fish
Merluccius bilinearis,Merluccius bilinearis,67127.515280302,26730.0923514395,Fish
Merluccius merluccius,Merluccius merluccius,72530.0197121779,39836.8695984448,Fish
Merluccius productus,Merluccius productus,3548.06824344012,120.273974453747,Fish
Mertensia ovum,Mertensia ovum,7019.14647547967,1148.60000116914,Jellyfish
Mesocyclops edax,Mesocyclops edax,267.300923514395,151.757730259811,Invertebrate
Mesonychoteuthis hamiltoni,Mesonychoteuthis hamiltoni,594471.932086806,113718.38961718,Invertebrate
Mesoplodon carlhubbsi,Mesoplodon carlhubbsi,3923440.99769132,72499.2965278222,Mammals
Mesoplodon densirostris,Mesoplodon densirostris,1446551.14223718,67142.9562905789,Mammals
Mesoplodon layardii,Mesoplodon layardii,1240700.9817988,67142.9562905789,Mammals
Mesoplodon mirus,Mesoplodon mirus,1339678.10402195,31164.9996174102,Mammals
Metridia gerlachei,Metridia gerlachei,1637.73289129262,2190.0533228654,Invertebrate
Metridia princeps,Metridia princeps,1216.96814734343,424.667067731039,Invertebrate
Mirounga angustirostris,Mirounga angustirostris,1446551.14223718,67142.9562905789,Mammals
Mirounga leonina,Mirounga leonina,1339678.10402195,114903.641525165,Mammals
Mnemiopsis leidyi,Mnemiopsis leidyi,5802.0340228473,689.84497523783,Jellyfish
Mnemiopsis leidyi,Mnemiopsis leidyi,55515.7635271281,3162.27766016838,Jellyfish
Monoculodes longirostris,Monoculodes longirostris,1820.51150767554,1070.95054581372,Invertebrate
Monodon monoceros,Monodon monoceros,1446551.14223718,62182.3492826381,Mammals
Moroteuthis ingens,Moroteuthis ingens,117527.663190338,30800.9611887559,Invertebrate
Muggiaea atlantica,Muggiaea atlantica,500,632.455532033676,Jellyfish
Mustelus canis,Mustelus canis,185029.178577263,14574.5380206544,Fish
Myctophum asperum,Myctophum asperum,2858.29530954857,232.733769869572,Fish
Myctophum punctatum,Myctophum punctatum,2505.54605348724,134.387702088586,Fish
Myicola major,Myicola major,424.667067731039,424.667067731039,Invertebrate
Myoxocephalus octodecimspinosus,Myoxocephalus octodecimspinosus,79338.774443381,8877.83550953051,Fish
Mysidopsis bigelowi,Mysidopsis bigelowi,1574.23581771547,424.667067731039,Invertebrate
Mytilus edulis,Mytilus edulis,241,2.9,Invertebrate
Mytilus edulis,Mytilus edulis,236,2.9,Invertebrate
Mytilus edulis,Mytilus edulis,261.992366301005,3,Invertebrate
Mytilus edulis,Mytilus edulis,99,2.9,Invertebrate
Nanomia bijuga,Nanomia bijuga,3000,1732.05080756888,Jellyfish
Nematocarcinus lanceopes,Nematocarcinus lanceopes,13184.4153010177,1536.68549839116,Invertebrate
Nemopsis bachei,Nemopsis bachei,2275.12541639405,689.84497523783,Invertebrate
Neomysis americana,Neomysis americana,2128.2883212486,424.667067731039,Invertebrate
Nereis virens,Nereis virens,8963.90997547056,4592.13379641342,Invertebrate
Notocrangon antarcticus,Notocrangon antarcticus,8907.05978299811,12407.009817988,Invertebrate
Notolepis rissoi,Notolepis rissoi,1480.04408252976,74.6699710627743,Fish
Notonecta glauca,Notonecta glauca,14009.2345076804,7287.56870061421,Invertebrate
Nototheniops larseni,Nototheniops larseni,5160.23337921812,120.345445825005,Fish
Oblea rotundata,Oblea rotundata,21.6,33,Plankton
Ochromonas danica,Ochromonas danica,6.1,1.4,Plankton
Ochromonas sp.a,Ochromonas sp.a,2.5,0.396862696659689,Plankton
Oediceroides calmani,Oediceroides calmani,11565.4392624423,10406.0153720115,Invertebrate
Oediceroides emarginatus,Oediceroides emarginatus,23035.2952918789,10406.0153720115,Invertebrate
Oithona colcarva,Oithona colcarva,2866.25253482416,424.667067731039,Invertebrate
Oithona nana,Oithona nana,890.705978299812,616.480222073676,Invertebrate
Ommatophoca rossii,Ommatophoca rossii,1339678.10402195,84527.9738971949,Mammals
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,6769.62771761023,417.985994028805,Fish
Oncorhynchus keta,Oncorhynchus keta,15089.3129730105,536.050254304327,Fish
Oncorhynchus nerka,Oncorhynchus nerka,46803.6135897789,3743.57621272075,Fish
Ophiodon elongatus,Ophiodon elongatus,8524.73105019138,302.913039638456,Fish
Orcinus orca,Orcinus orca,724992.965278222,2673009.23514395,Mammals
Orthocyclops modestus,Orthocyclops modestus,394.716925873423,74.3270014464835,Invertebrate
Ostrea edulis,Ostrea edulis,208,3.6,Invertebrate
Otaria flavescens,Otaria flavescens,4939319.57366866,72499.2965278222,Mammals
Oxyrrhis marina,Oxyrrhis marina,15.6,9.1,Plankton
Oxyrrhis marina,Oxyrrhis marina,15.6,11.5,Plankton
Palaemon elegans,Palaemon elegans,10165.3270484286,6592.20765050887,Invertebrate
Palaemon longirostris,Palaemon longirostris,6635.86592713814,6488.02435859126,Invertebrate
Palaemon northropi,Palaemon northropi,7969.21879486843,7107.54703422535,Invertebrate
Palaemon serratus,Palaemon serratus,2673.00923514395,2673.00923514395,Invertebrate
Palaemonetes intermedius,Palaemonetes intermedius,5418.49868232184,633.146024622734,Invertebrate
Palaemonetes pugio,Palaemonetes pugio,6099.28903331609,633.146024622734,Invertebrate
Palaemonetes vulgaris,Palaemonetes vulgaris,6099.28903331609,633.146024622734,Invertebrate
Pandalus montagui,Pandalus montagui,14822.3504545983,590.080105310309,Invertebrate
Paracalanus crassirostris,Paracalanus crassirostris,713.812643742727,424.667067731039,Invertebrate
Paracalanus indicus,Paracalanus indicus,713.812643742727,424.667067731039,Invertebrate
