name,specie,esd,opt,type,group,tag
Bassia bassensis,Bassia bassensis,400,692.820323027551,tentacled,Jellyfish,Jellyfish - tentacled
Bathypanoploea schellenbergi,Bathypanoploea schellenbergi,19189.678582679,10963.5236086462,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Benthosema glaciale,Benthosema glaciale,1631.46657239152,83.1478737999098,planktivorous,Fish,Fish - planktivorous
Berardius arnuxii,Berardius arnuxii,4574396.36138768,106414.414346653,Fish,Mammals,Mammals - Fish
Berardius bairdii,Berardius bairdii,2475523.91312804,106414.414346653,Fish,Mammals,Mammals - Fish
Beroe cucumis,Beroe cucumis,5616.58652356287,1344.14874465889,tentacled,Jellyfish,Jellyfish - tentacled
Bodo,Bodo sp.,4.4,1.4,Flagellate,Plankton,Plankton - Flagellate
Bodo,Bodo sp.,4.9,1.4,Flagellate,Plankton,Plankton - Flagellate
Bodo,Bodo sp.,3.4,1.3,Flagellate,Plankton,Plankton - Flagellate
Bodonid,Bodonid sp.,4.64327470649756,0.848528137423857,Flagellate,Plankton,Plankton - Flagellate
Bodonid,Bodonid sp.,4.64327470649756,0.848528137423857,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Bolinopsis infudibulum,Bolinopsis infudibulum,18973.6659610103,2345.20787991171,tentacled,Jellyfish,Jellyfish - tentacled
Bosmina longispina,Bosmina longispina,460,3.57770876399966,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Bowmaniella dissimilis,Bowmaniella dissimilis,1820.51150767554,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Brachionus angularis,Brachionus angularis,66,3.5,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus angularis,Brachionus angularis,118.321595661992,3.46410161513775,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus B,Brachionus B,126,6,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus calyciflorus,Brachionus calyciflorus,250.399680510978,7.34846922834953,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus calyciflorus,Brachionus calyciflorus,139,8.8,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus F,Brachionus F,83,6.1,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus rubens B,Brachionus rubens,228.035085019828,4.24264068711929,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Brachionus rubens F,Brachionus rubens,146.969384566991,3.46410161513775,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Calanoides acutus,Calanoides acutus,2190.0533228654,1952.93892467575,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus finmarchicus,Calanus finmarchicus,855,80,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus finnmarchicus,Calanus finnmarchicus,737.439567986421,890.705978299812,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus helgolandicus,Calanus helgolandicus,737.439567986421,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus pacificus C1,Calanus pacificus,289,28.7,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus pacificus N5,Calanus pacificus,237,28.7,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Calanus propinquus,Calanus propinquus,2216.28399975228,2190.0533228654,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Callianira antarctica,Callianira antarctica,22032.4673341026,943.665370360165,tentacled,Jellyfish,Jellyfish - tentacled
Callorhinus ursinus,Callorhinus ursinus,2886248.98078103,78282.939676974,Fish,Mammals,Mammals - Fish
Canuella elongata,Canuella elongata,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Caperea marginata,Caperea marginata,457439.636138768,2475.52391312804,Zooplankton,Mammals,Mammals - Zooplankton
Caprella fretensis,Caprella fretensis,2557.35215102886,640.794357169306,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Caprella linearis,Caprella linearis,3695.95689469996,563.92626615601,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Caprella penantis,Caprella penantis,4041.92697217237,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Carangoides sp.,Carangoides sp.,1911.31335867898,164.760645198199,predacious,Fish,Fish - predacious
Carangoides sp.,Carangoides sp.,1911.31335867898,164.760645198199,predacious,Fish,Fish - predacious
Carcharhinus isodon ,Carcharhinus isodon,218310.275486686,36554.8214521992,piscivorous,Fish,Fish - piscivorous
Carcharhinus limbatus,Carcharhinus limbatus,200178.250518496,36792.4368297071,piscivorous,Fish,Fish - piscivorous
Centropages furcatus,Centropages furcatus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Centropages hamatus,Centropages hamatus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Centropages typicus,Centropages typicus,559,32,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cephalorhynchus commersonii,Cephalorhynchus commersonii,3923440.99769132,78282.939676974,Fish,Mammals,Mammals - Fish
Cephalorhynchus heavisidii,Cephalorhynchus heavisidii,533335.459444651,98552.3820692924,Fish,Mammals,Mammals - Fish
Cephalorhynchus hectori,Cephalorhynchus hectori,533335.459444651,114903.641525165,Fish,Mammals,Mammals - Fish
Ceratoscopelus maderensis,Ceratoscopelus maderensis,1565.89012176925,60.3852690444299,planktivorous,Fish,Fish - planktivorous
Chaoborys punctipennis,Chaoborys punctipennis,737.462980252866,91.4156299468167,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Chelophyes appendiculata,Chelophyes appendiculata,400,400,tentacled,Jellyfish,Jellyfish - tentacled
Chionodraco rastrospinosus,Chionodraco rastrospinosus,5885.58659375564,3564.42806646111,predacious,Fish,Fish - predacious
Chorismus antarcticus,Chorismus antarcticus,7374.62980252866,9646.42544023908,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Chrysaora quinquecirrha,Chrysaora quinquecirrha,31622.7766016838,5477.22557505166,tentacled,Jellyfish,Jellyfish - tentacled
Chrysaora quinquecirrha,Chrysaora quinquecirrha,5000,15811.3883008419,tentacled,Jellyfish,Jellyfish - tentacled
Chrysaora quinquecirrha,Chrysaora quinquecirrha,10666.7091901272,424.667067731039,tentacled,Jellyfish,Jellyfish - tentacled
Chrysaora quinquecirrha,Chrysaora quinquecirrha,46957.4275274956,3162.27766016838,tentacled,Jellyfish,Jellyfish - tentacled
Chrysomonad,Chrysomonad sp.,3.4,0.848528137423857,Flagellate,Plankton,Plankton - Flagellate
Clio pyramidata,Clio pyramidata,3190.19159401085,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Clione limacina,Clione limacina,4592.14224936319,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Clupea harengus,Clupea harengus,60871.9328164516,8076.13919075489,piscivorous,Fish,Fish - piscivorous
Clupea pallasii,Clupea pallasii,17126.7710401857,255.687021865958,planktivorous,Fish,Fish - planktivorous
Clytemnestra rostrata,Clytemnestra rostrata,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cochlodinium polykrikoides,Cochlodinium polykrikoides,25.8,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Colomastix pusilla,Colomastix pusilla,1310.11213614931,15464.899488884,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Conchoecia antipoda,Conchoecia antipoda,943.665370360165,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Conchoecia hettacra,Conchoecia hettacra,943.665370360165,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Concholepas concholepas,Concholepas concholepas,1700,24.4948974278318,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Concholepas concholepas,Concholepas concholepas,247,20,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Corycaeus amazonicus,Corycaeus amazonicus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Corycaeus speciosus,Corycaeus speciosus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Corycaeus venustus,Corycaeus venustus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Crangon crangon,Crangon crangon,16289.4121108199,2281.22735315674,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Crangonyx pseudogracilis,Crangonyx pseudogracilis,1610.59049516988,837.219953664176,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Crassotrea virginica,Crassotrea virginica,274.59060435492,7.74596669241483,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Crassotrea virginica,Crassotrea virginica,211.329127192633,4.24264068711929,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Crassotrea virginica,Crassotrea virginica,114.647285183732,4,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Cyanaea capilata,Cyanaea capilata,99297.5326984513,8944.27190999916,tentacled,Jellyfish,Jellyfish - tentacled
Cyanea capillata,Cyanea capillata,10666.7091901272,1310.11510338598,tentacled,Jellyfish,Jellyfish - tentacled
Cyclops bicuspidatus,Cyclops bicuspidatus,390.796320898386,410.049411747408,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cyclops scutifer,Cyclops scutifer,349.743618236094,151.757730259811,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cyclops varians rubellus,Cyclops varians,359.857369777155,70.0526594964442,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cyclops vernalis,Cyclops vernalis,349.743618236094,160.874035846574,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cyclosalpa affinis,Cyclosalpa affinis,13700,11.747340124471,Salp,Jellyfish,Jellyfish - Salp
Cyclosalpa bakeri,Cyclosalpa bakeri,31622.7766016838,22.360679774998,Salp,Jellyfish,Jellyfish - Salp
Cyllopus lucasii,Cyllopus lucasii,8486.27534357644,1536.68549839116,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Cynoglossus sp.,Cynoglossus sp.,1133.18726137329,109.941569873093,predacious,Fish,Fish - predacious
Cynoscion regalis,Cynoscion regalis,72218.884732413,13899.7139250306,piscivorous,Fish,Fish - piscivorous
Cystophora cristata,Cystophora cristata,457439.636138768,6218.23492826382,Fish,Mammals,Mammals - Fish
Daphnia cuculata,Daphnia cuculata,284,7,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Daphnia cucullata,Daphnia cucullata,678.574977434329,19.3649167310371,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Daphnia cucullata,Daphnia cucullata,810,11.1803398874989,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Daphnia longispina,Daphnia longispina,297,6,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Daphnia longispina adults,Daphnia longispina,2400,3.87298334620742,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Daphnia longispina juveniles,Daphnia longispina,700,2.82842712474619,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Delphinapterus leucas,Delphinapterus leucas,912712.06736076,6218.23492826382,Fish,Mammals,Mammals - Fish
Delphinus delphis,Delphinus delphis,3116499.96174102,84527.9738971949,Fish,Mammals,Mammals - Fish
Desmonema glaciale,Desmonema glaciale,53460.184702879,5611.09605663569,tentacled,Jellyfish,Jellyfish - tentacled
Diacyclops thomasi,Diacyclops thomasi,510.352452090453,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Diaphus garmani,Diaphus garmani,1926.11571998889,137.471295456949,planktivorous,Fish,Fish - planktivorous
Diaptomus graciloides,Diaptomus graciloides,325,31,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Diaptomus sicilis,Diaptomus sicilis,398,14.1,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Dicata odhneri,Dicata odhneri,2557.35215102886,5346.65323460896,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Dicentrarchus labrax,Dicentrarchus labrax,7897.29982648137,646.556376516353,predacious,Fish,Fish - predacious
Dimophyes arctica,Dimophyes arctica,6592.20765050887,1588.81582727107,tentacled,Jellyfish,Jellyfish - tentacled
Dinophysis acuminata,Dinophysis acuminata,35,22,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Diosaccus tenuicornis,Diosaccus tenuicornis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Diphyes antarctica,Diphyes antarctica,6592.20765050887,1588.81582727107,tentacled,Jellyfish,Jellyfish - tentacled
Diphyes dispar,Diphyes dispar,900,600,tentacled,Jellyfish,Jellyfish - tentacled
Diplopsalis lenticula,Diplopsalis lenticula,31,35.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Dipulmaris antarctica,Dipulmaris antarctica,16136.4508502764,3190.19159401085,tentacled,Jellyfish,Jellyfish - tentacled
Dolioletta gegenbauri,Dolioletta gegenbauri,10000,14.282856857086,Salp,Jellyfish,Jellyfish - Salp
Doliolum denticulatum,Doliolum denticulatum,1480,8.660254037844,Salp,Jellyfish,Jellyfish - Salp
Dytiscus marginalis,Dytiscus marginalis,21242.8097542217,7816.96840257118,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ectinosoma compressum,Ectinosoma compressum,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ectocyclops phaleratus,Ectocyclops phaleratus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Enhydra lutris,Enhydra lutris,533335.459444651,72499.2965278222,Benthic Invertebrate,Mammals,Mammals - Benthic Invertebrate
Epimeria georgiana,Epimeria georgiana,15366.8549839116,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epimeria macrodonta,Epimeria macrodonta,13540.9222154214,12807.5095273809,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epimeria robusta,Epimeria robusta,15366.8549839116,2990.26587343699,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epimeria rubrieques,Epimeria rubrieques,26730.0923514395,3190.19159401085,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epimeria similis,Epimeria similis,19189.678582679,16377.3289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epimeriella walkeri,Epimeriella walkeri,11171.4122687261,13184.4153010177,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Epishura lacustris,Epishura lacustris,615.347446553276,112.524407558469,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ergasilus versicolor,Ergasilus versicolor,689.84497523783,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Erignathus barbatus,Erignathus barbatus,363357.218667025,7249.92965278222,Benthic Invertebrate,Mammals,Mammals - Benthic Invertebrate
Eschrichtius robustus,Eschrichtius robustus,845279.738971949,1240.7009817988,Benthic Invertebrate,Mammals,Mammals - Benthic Invertebrate
Eubalaena glacialis,Eubalaena glacialis,3116499.96174102,533.335459444652,Zooplankton,Mammals,Mammals - Zooplankton
Eucalanus pileatus,Eucalanus pileatus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Euchaetomera antarcticus,Euchaetomera antarcticus,5433.67369666554,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eucopia australis,Eucopia australis,20782.5936032572,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eucyclops agilis,Eucyclops agilis,267.300923514395,267.300923514395,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eumetopias jubatus,Eumetopias jubatus,4236434.14016534,72499.2965278222,Fish,Mammals,Mammals - Fish
Euphausia frigida,Euphausia frigida,6873.0594379851,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Euphausia superba,Euphausia superba,21900.533228654,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eurytemora affinis,Eurytemora affinis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eurytemora americana,Eurytemora americana,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eurytemora herdmani,Eurytemora herdmani,381,16,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eurythenes gryllus,Eurythenes gryllus,45707.8149734083,13184.4153010177,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Eusirus perdentatus,Eusirus perdentatus,33106.8854540285,11171.4122687261,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Euterpina acutifrons,Euterpina acutifrons,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Evadne nordmanni,Evadne nordmanni,689.303271427026,14.4913767461894,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Evadne nordmanni,Evadne nordmanni,563.92626615601,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Farranula gracilis,Farranula gracilis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Favella ehrenbergii,Favella ehrenbergii,130,16.062378404209,Ciliates,Plankton,Plankton - Ciliates
Favella taraikansis,Favella taraikansis,79,14.6628782986152,Ciliates,Plankton,Plankton - Ciliates
Feresa attenuata,Feresa attenuata,1686554.80877746,78282.939676974,Fish,Mammals,Mammals - Fish
Forskalia spp,Forskalia spp,2500,748.331477354788,tentacled,Jellyfish,Jellyfish - tentacled
Forskalia spp,Forskalia spp,2500,748.331477354788,tentacled,Jellyfish,Jellyfish - tentacled
Fragilidium cf. mexicanum,Fragilidium cf.,54.5,37.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Fragilidium subglobosum,Fragilidium subglobosum,45,59.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gadus morhua,Gadus morhua,152481.274781753,26730.0923514395,predacious,Fish,Fish - predacious
Gammarellus angulosus,Gammarellus angulosus,2826.77987998711,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Gammaropsis maculata,Gammaropsis maculata,2128.29408362841,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Gammarus pulex,Gammarus pulex,1915.8424598454,650.947424817851,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Gasterosteus aculeatus,Gasterosteus aculeatus,17130.8503205194,646.083936803707,predacious,Fish,Fish - predacious
Gilbertidia sigalutes,Gilbertidia sigalutes,7773.70113007769,382.766511692596,predacious,Fish,Fish - predacious
Gitana sarsi,Gitana sarsi,937.527453840302,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Globicephala melas,Globicephala melas,671429.562905789,72499.2965278222,Fish,Mammals,Mammals - Fish
Gonatus antarcticus,Gonatus antarcticus,117527.663190338,37221.029453964,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Gonyaulax polygrama,Gonyaulax polygrama,32.5,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gymnodinium catenatum,Gymnodinium catenatum,33.9,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gymnodinium gracilentum,Gymnodinium gracilentum,9.1,8.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gymnodinium smaydae,Gymnodinium smaydae,10.5,9.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gymnodinium sp.,Gymnodinium sp.,6,8,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium auroleum,Gyrodinium auroleum,19.4,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium dominans,Gyrodinium dominans,20,12.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium dominans,Gyrodinium dominans,20,5.4,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium dominans,Gyrodinium dominans,25,10.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium fusiforme,Gyrodinium fusiforme,16.1,10.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium galatheanum,Gyrodinium galatheanum,11,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium moestrupii,Gyrodinium moestrupii,18.4,21.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium spirale,Gyrodinium spirale,31.8,12.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Gyrodinium spirale,Gyrodinium spirale,28,32,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Halichoerus grypus,Halichoerus grypus,1339678.10402195,267300.923514395,Fish,Mammals,Mammals - Fish
Halicyclops magniceps,Halicyclops magniceps,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Halteria cf. Grandinella,Halteria cf.,19.3,1.4543039572249,Ciliates,Plankton,Plankton - Ciliates
Harpacticus chelifer,Harpacticus chelifer,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Harpacticus gracilis,Harpacticus gracilis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Hemitripterus americanus,Hemitripterus americanus,98085.6355656716,32076.1108217274,piscivorous,Fish,Fish - piscivorous
Heterocapsa steinii,Heterocapsa steinii,25,10.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Heterocapsa triquetra,Heterocapsa triquetra,15,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Heteromysis formosa,Heteromysis formosa,1820.51150767554,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Heterophoxus videns,Heterophoxus videns,3897.51405962576,16377.3289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Hexagrammos decagrammus,Hexagrammos decagrammus,12589.1862131223,417.985994028805,predacious,Fish,Fish - predacious
Hippopodius hippopus,Hippopodius hippopus,3300,1122.49721603218,tentacled,Jellyfish,Jellyfish - tentacled
Hydroporus erythrocephalus,Hydroporus erythrocephalus,4490.14025006013,4383.42239767513,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Hydrurga leptonyx,Hydrurga leptonyx,533335.459444651,457439.636138768,Mammal,Mammals,Mammals - Mammal
Hygophum benoiti,Hygophum benoiti,1988.87856184938,118.511703180096,planktivorous,Fish,Fish - planktivorous
Hyperia galba,Hyperia galba,2418.00934861342,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Hyperia macrocephala,Hyperia macrocephala,9291.45132338793,6442.33253015115,swimming predacious,Invertebrate,Invertebrate - swimming predacious
