"","name","group","esd","opt","ops.0","ops.2"
"31","Arctocephalus gazella","Mammals",392344.099769132,31164.9996174102,6236.63903212404,62359.9040815352
"32","Arctocephalus tropicalis","Mammals",392344.099769132,45743.9636138768,56232.4520500394,62359.9040815352
"33","Argyroneta aquatica","Invertebrate",8040.74889125853,6354.47510824412,3424.18387855453,1511.66122818737
"34","Aspitrigla cuculus","Fish",68575.2628421097,11162.0949897841,16088.6898200159,12489.0479111218
"35","Athorybia rosacea","Jellyfish",2200,1414.2135623731,860.03515448894,351.151286939359
"36","Atolla wyvillei","Jellyfish",14202.4808461499,1588.81582727107,2007.65514823657,2577.39843319058
"37","Aurelia aurita","Jellyfish",16201.8517460196,2345.20787991171,2125.36856169627,2958.40757308676
"38","Aurelia aurita","Jellyfish",21378.8869030305,424.667067731039,2393.24329391711,3949.73826899817
"39","Balaena mysticetus","Mammals",3923440.99769132,6218.23492826382,7240.93149393792,724331.184738609
"40","Balaenoptera acutorostrata","Mammals",2292629.05787855,5758.82382296972,7066.35069837393,413025.994307754
"41","Balaenoptera borealis","Mammals",3365119.25208321,3365.11925208321,7195.27684072869,617329.234559735
"42","Balaenoptera edeni","Mammals",3365119.25208321,72499.2965278222,78106.7880262993,617329.234559735
"43","Balaenoptera musculus","Mammals",6714295.62905789,9855.23820692924,7372.85520123573,1262202.02149182
"44","Balaenoptera physalus","Mammals",4574396.36138768,5333.35459444652,7283.09923547986,849437.74369938
"45","Balanion comatum","Plankton",17,6.32455532033676,2.38361200383527,2.90158637097325
"46","Balanus flosculus nauplii","Invertebrate",860,20,16.4987005214591,143.81823244002
"47","Bassia bassensis","Jellyfish",400,692.820323027551,370.595289770569,53.0879950141252
"48","Bathypanoploea schellenbergi","Invertebrate",19189.678582679,10963.5236086462,7932.94196390394,3664.8760479453
"49","Benthosema glaciale","Fish",1631.46657239152,83.1478737999098,113.729047519699,213.944062195131
"50","Berardius arnuxii","Mammals",4574396.36138768,106414.414346653,81184.3798592005,849437.74369938
"51","Berardius bairdii","Mammals",2475523.91312804,106414.414346653,74990.20024344,447711.511665265
"52","Beroe cucumis","Jellyfish",5616.58652356287,1344.14874465889,1329.54027068778,965.448355558646
"53","Bodo","Plankton",4.4,1.4,1.21526813501671,0.668696311262376
"54","Bodo","Plankton",4.9,1.4,1.36790112541912,0.75271150797283
"55","Bodo","Plankton",3.4,1.3,0.914397500895298,0.503094297143331
"56","Bodonid","Plankton",4.64327470649756,0.848528137423857,1.28936905847158,0.709484035821486
"57","Bolinopsis infudibulum","Jellyfish",18973.6659610103,2345.20787991171,2274.50327662764,3488.46174720198
"58","Bosmina longispina","Invertebrate",460,3.57770876399966,6.15732220581923,72.9891447287771
"59","Bowmaniella dissimilis","Invertebrate",1820.51150767554,424.667067731039,784.800581503897,320.55856296632
"60","Brachionus angularis","Invertebrate",66,3.5,2.4011165718222,8.42071980843142
"61","Brachionus angularis","Invertebrate",118.321595661992,3.46410161513775,3.21486727857032,16.2607570246971
"62","Brachionus B","Invertebrate",126,6,3.31604931607093,17.4473024582556
"63","Brachionus calyciflorus","Invertebrate",250.399680510978,7.34846922834953,4.62550870278949,37.4421367240781
"64","Brachionus calyciflorus","Invertebrate",139,8.8,3.47986589124365,19.4724506603953
"65","Brachionus F","Invertebrate",83,6.1,2.69503561906417,10.9129723899573
"66","Brachionus rubens B","Invertebrate",228.035085019828,4.24264068711929,4.42317686799378,33.7636041439464
"67","Brachionus rubens F","Invertebrate",146.969384566991,3.46410161513775,3.57611479633194,20.723240717732
"68","Calanoides acutus","Invertebrate",2190.0533228654,1952.93892467575,945.167485076475,389.816320055514
"69","Calanus finmarchicus","Invertebrate",855,80,364.032004615378,142.917802051897
"70","Calanus finnmarchicus","Invertebrate",737.439567986421,890.705978299812,312.756192976688,121.838276404879
"71","Calanus helgolandicus","Invertebrate",737.439567986421,616.480222073676,312.756192976688,121.838276404879
"72","Calanus pacificus C1","Invertebrate",289,28.7,118.248433876638,43.8550916660694
"73","Calanus pacificus N5","Invertebrate",237,28.7,95.9998596443823,35.2346164372327
"74","Calanus propinquus","Invertebrate",2216.28399975228,2190.0533228654,956.53255965905,394.749642159615
"75","Callianira antarctica","Jellyfish",22032.4673341026,943.665370360165,2424.04907047005,4075.25469671649
"76","Callorhinus ursinus","Mammals",2886248.98078103,78282.939676974,76552.4715639809,525860.483930815
"77","Canuella elongata","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"78","Caperea marginata","Mammals",457439.636138768,2475.52391312804,6321.92765987685,73703.707043993
"79","Caprella fretensis","Invertebrate",2557.35215102886,640.794357169306,1104.08489077467,459.070174453401
"80","Caprella linearis","Invertebrate",3695.95689469996,563.92626615601,1593.65050177519,675.522439339758
"81","Caprella penantis","Invertebrate",4041.92697217237,424.667067731039,1741.51157622384,741.662154723914
"82","Carangoides sp.","Fish",1911.31335867898,164.760645198199,117.443664830577,255.747767464932
"83","Carangoides sp.","Fish",1911.31335867898,164.760645198199,117.443664830577,255.747767464932
"84","Carcharhinus isodon ","Fish",218310.275486686,36554.8214521992,29131.7293112261,41345.8850851994
"85","Carcharhinus limbatus","Fish",200178.250518496,36792.4368297071,27893.4819365633,37839.7031723574
"86","Centropages furcatus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"87","Centropages hamatus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"88","Centropages typicus","Invertebrate",559,32,235.047827122385,90.2448283929256
"89","Cephalorhynchus commersonii","Mammals",3923440.99769132,78282.939676974,79651.3606374488,724331.184738609
"90","Cephalorhynchus heavisidii","Mammals",533335.459444651,98552.3820692924,59302.7300249736,87065.7323050791
"91","Cephalorhynchus hectori","Mammals",533335.459444651,114903.641525165,59302.7300249736,87065.7323050791
"92","Ceratoscopelus maderensis","Fish",1565.89012176925,60.3852690444299,110.856547705743,204.255896452825
"93","Chaoborys punctipennis","Invertebrate",737.462980252866,91.4156299468167,312.766400365938,121.842455710774
"94","Chelophyes appendiculata","Jellyfish",400,400,370.595289770569,53.0879950141252
"95","Chionodraco rastrospinosus","Fish",5885.58659375564,3564.42806646111,409.027977726119,894.480276793312
"96","Chorismus antarcticus","Invertebrate",7374.62980252866,9646.42544023908,3146.93366515489,1383.00039793285
"97","Chrysaora quinquecirrha","Jellyfish",31622.7766016838,5477.22557505166,2821.76224625232,5922.62279523418
"98","Chrysaora quinquecirrha","Jellyfish",5000,15811.3883008419,1260.91396377262,852.493687609543
"99","Chrysaora quinquecirrha","Jellyfish",10666.7091901272,424.667067731039,1771.45515234961,1907.46827731747
"100","Chrysaora quinquecirrha","Jellyfish",46957.4275274956,3162.27766016838,3321.0747946144,8886.20967744136
"101","Chrysomonad","Plankton",3.4,0.848528137423857,0.914397500895298,0.503094297143331
"102","Clio pyramidata","Invertebrate",3190.19159401085,2203.24673341026,1376.75439908577,579.107349437559
"103","Clione limacina","Invertebrate",4592.14224936319,424.667067731039,1975.8439778031,847.093972063793
"104","Clupea harengus","Fish",60871.9328164516,8076.13919075489,15109.8685507811,11023.0123516165
"105","Clupea pallasii","Fish",17126.7710401857,255.687021865958,463.154781370776,2862.49659994998
"106","Clytemnestra rostrata","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"107","Cochlodinium polykrikoides","Plankton",25.8,5.6,15.3096222655693,4.5271727847937
"108","Colomastix pusilla","Invertebrate",1310.11213614931,15464.899488884,562.597333005137,225.8707900641
"109","Conchoecia antipoda","Invertebrate",943.665370360165,1637.73289129262,402.721876080546,158.927424648071
"110","Conchoecia hettacra","Invertebrate",943.665370360165,1637.73289129262,402.721876080546,158.927424648071
"111","Concholepas concholepas","Invertebrate",1700,24.4948974278318,25.4334261015074,298.085664145827
"112","Concholepas concholepas","Invertebrate",247,20,7.27546359037311,36.8810881975156
"113","Corycaeus amazonicus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"114","Corycaeus speciosus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"115","Corycaeus venustus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"116","Crangon crangon","Invertebrate",16289.4121108199,2281.22735315674,6780.37202867931,3105.73498899498
"117","Crangonyx pseudogracilis","Invertebrate",1610.59049516988,837.219953664176,693.501653078901,281.454668834962
"118","Crassotrea virginica","Invertebrate",274.59060435492,7.74596669241483,7.80946000211265,41.4523342970224
"119","Crassotrea virginica","Invertebrate",211.329127192633,4.24264068711929,6.55176206475815,31.035896729555
"120","Crassotrea virginica","Invertebrate",114.647285183732,4,4.32217745547427,15.6956783508117
"121","Cyanaea capilata","Jellyfish",99297.5326984513,8944.27190999916,4479.3185533182,18982.8896834852
"122","Cyanea capillata","Jellyfish",10666.7091901272,1310.11510338598,1771.45515234961,1907.46827731747
"123","Cyclops bicuspidatus","Invertebrate",390.796320898386,410.049411747408,162.099942976369,61.0786464459237
"124","Cyclops scutifer","Invertebrate",349.743618236094,151.757730259811,144.377837117845,54.084933692455
"125","Cyclops varians rubellus","Invertebrate",359.857369777155,70.0526594964442,148.73975199752,55.8024037265776
"126","Cyclops vernalis","Invertebrate",349.743618236094,160.874035846574,144.377837117845,54.084933692455
"127","Cyclosalpa affinis","Jellyfish",13700,11.747340124471,26.8656924276111,2481.85892084702
"128","Cyclosalpa bakeri","Jellyfish",31622.7766016838,22.360679774998,27.774915482963,5922.62279523418
"129","Cyllopus lucasii","Invertebrate",8486.27534357644,1536.68549839116,3609.0135574959,1597.75332883034
"130","Cynoglossus sp.","Fish",1133.18726137329,109.941569873093,65.1380648924045,141.562715438272
"131","Cynoscion regalis","Fish",72218.884732413,13899.7139250306,16531.8588310713,13183.9960577088
"132","Cystophora cristata","Mammals",457439.636138768,6218.23492826382,57762.1599747093,73703.707043993
"133","Daphnia cuculata","Invertebrate",284,7,4.91100996819385,43.020211790197
"134","Daphnia cucullata","Invertebrate",678.574977434329,19.3649167310371,7.36131271353599,111.35650097509
"135","Daphnia cucullata","Invertebrate",810,11.1803398874989,7.9762346086464,134.827646418492
"136","Daphnia longispina","Invertebrate",297,6,5.0162626904444,45.1933272926232
"137","Daphnia longispina adults","Invertebrate",2400,3.87298334620742,12.8532604719333,429.357539650036
"138","Daphnia longispina juveniles","Invertebrate",700,2.82842712474619,7.46611667532289,115.165387801792
"139","Delphinapterus leucas","Mammals",912712.06736076,6218.23492826382,64760.6370630164,155353.304814884
"140","Delphinus delphis","Mammals",3116499.96174102,84527.9738971949,77330.7354441139,569799.332911041
"141","Desmonema glaciale","Jellyfish",53460.184702879,5611.09605663569,3500.78132899688,10143.5924570333
"142","Diacyclops thomasi","Invertebrate",510.352452090453,424.667067731039,213.907990717296,81.736895321
"143","Diaphus garmani","Fish",1926.11571998889,137.471295456949,126.086641147111,257.97818148199
"144","Diaptomus graciloides","Invertebrate",325,31,133.719036919891,49.8994350073971
"145","Diaptomus sicilis","Invertebrate",398,14.1,165.213974186725,62.3117257878951
"146","Dicata odhneri","Invertebrate",2557.35215102886,5346.65323460896,1104.08489077467,459.070174453401
"147","Dicentrarchus labrax","Fish",7897.29982648137,646.556376516353,564.190441800346,1235.13942502131
"148","Dimophyes arctica","Jellyfish",6592.20765050887,1588.81582727107,1429.52121822357,1145.3668581118
"149","Dinophysis acuminata","Plankton",35,22,20.4710511051237,6.25183441178419
"150","Diosaccus tenuicornis","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"151","Diphyes antarctica","Jellyfish",6592.20765050887,1588.81582727107,1429.52121822357,1145.3668581118
"152","Diphyes dispar","Jellyfish",900,600,557.548014057391,131.453962629089
"153","Diplopsalis lenticula","Plankton",31,35.2,18.2404851493216,5.4995996173673
"154","Dipulmaris antarctica","Jellyfish",16136.4508502764,3190.19159401085,2121.66490257194,2945.92486846802
"155","Dolioletta gegenbauri","Jellyfish",10000,14.282856857086,26.4257021761642,1781.87647941607
"156","Doliolum denticulatum","Jellyfish",1480,8.660254037844,22.813535950539,227.607069671157
"157","Dytiscus marginalis","Invertebrate",21242.8097542217,7816.96840257118,8741.78394030999,4060.02409306578
"158","Ectinosoma compressum","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"159","Ectocyclops phaleratus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"160","Enhydra lutris","Mammals",533335.459444651,72499.2965278222,8587.83447338135,87065.7323050791
"161","Epimeria georgiana","Invertebrate",15366.8549839116,1637.73289129262,6411.09328349723,2927.66379860848
"162","Epimeria macrodonta","Invertebrate",13540.9222154214,12807.5095273809,5676.11444274106,2574.96930904184
"163","Epimeria robusta","Invertebrate",15366.8549839116,2990.26587343699,6411.09328349723,2927.66379860848
"164","Epimeria rubrieques","Invertebrate",26730.0923514395,3190.19159401085,10878.0846827235,5113.12947490762
"165","Epimeria similis","Invertebrate",19189.678582679,16377.3289129262,7932.94196390394,3664.8760479453
"166","Epimeriella walkeri","Invertebrate",11171.4122687261,13184.4153010177,4713.50681753553,2116.9101710013
"167","Epishura lacustris","Invertebrate",615.347446553276,112.524407558469,259.562936180871,100.160645028054
"168","Ergasilus versicolor","Invertebrate",689.84497523783,424.667067731039,292.010536434771,113.359145125896
"169","Erignathus barbatus","Mammals",363357.218667025,7249.92965278222,8298.99381543857,57349.3835130191
"170","Eschrichtius robustus","Mammals",845279.738971949,1240.7009817988,8909.55709495504,143075.484107337
"171","Eubalaena glacialis","Mammals",3116499.96174102,533.335459444652,7171.16334323285,569799.332911041
"172","Eucalanus pileatus","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"173","Euchaetomera antarcticus","Invertebrate",5433.67369666554,1637.73289129262,2332.38994053008,1008.79217090188
"174","Eucopia australis","Invertebrate",20782.5936032572,1637.73289129262,8560.96099707765,3971.50146060801
"175","Eucyclops agilis","Invertebrate",267.300923514395,267.300923514395,108.948515848983,40.2406867472974
"176","Eumetopias jubatus","Mammals",4236434.14016534,72499.2965278222,80419.4282290019,784445.209008817
"177","Euphausia frigida","Invertebrate",6873.0594379851,2203.24673341026,2937.42619674694,1286.18326955482
"178","Euphausia superba","Invertebrate",21900.533228654,2203.24673341026,8999.74145915946,4186.48495824946
"179","Eurytemora affinis","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"180","Eurytemora americana","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"181","Eurytemora herdmani","Invertebrate",381,16,157.867085131471,59.4044908502998
"182","Eurythenes gryllus","Invertebrate",45707.8149734083,13184.4153010177,18042.0978191889,8721.05264536815
"183","Eusirus perdentatus","Invertebrate",33106.8854540285,11171.4122687261,13320.2881373138,6331.31164436908
"184","Euterpina acutifrons","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"185","Evadne nordmanni","Invertebrate",689.303271427026,14.4913767461894,7.41403362231705,113.262839605524
"186","Evadne nordmanni","Invertebrate",563.92626615601,616.480222073676,237.189955815093,91.1092180038862
"187","Farranula gracilis","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"188","Favella ehrenbergii","Plankton",130,16.062378404209,14.2363963688882,24.48929700633
"189","Favella taraikansis","Plankton",79,14.6628782986152,9.26868422668619,14.6500239040732
"190","Feresa attenuata","Mammals",1686554.80877746,78282.939676974,71061.2364174456,298764.479024062
"191","Forskalia spp","Jellyfish",2500,748.331477354788,913.720587803234,403.550062299821
"192","Forskalia spp","Jellyfish",2500,748.331477354788,913.720587803234,403.550062299821
"193","Fragilidium cf. mexicanum","Plankton",54.5,37.9,31.1012563373671,9.9534981576046
"194","Fragilidium subglobosum","Plankton",45,59.5,25.9685513936996,8.14429015284646
"195","Gadus morhua","Fish",152481.274781753,26730.0923514395,12936.0954882241,28620.8353751113
"196","Gammarellus angulosus","Invertebrate",2826.77987998711,616.480222073676,1220.34822927999,510.079014066386
"197","Gammaropsis maculata","Invertebrate",2128.29408362841,616.480222073676,918.399213361032,378.209337442689
"198","Gammarus pulex","Invertebrate",1915.8424598454,650.947424817851,826.215098961813,338.378014100578
"199","Gasterosteus aculeatus","Fish",17130.8503205194,646.083936803707,1304.17592936541,2863.23104208286
"200","Gilbertidia sigalutes","Fish",7773.70113007769,382.766511692596,554.565624921669,1213.99789066434
"201","Gitana sarsi","Invertebrate",937.527453840302,616.480222073676,400.043322198669,157.816374926235
"202","Globicephala melas","Mammals",671429.562905789,72499.2965278222,61631.0318291736,111676.155510788
"203","Gonatus antarcticus","Invertebrate",117527.663190338,37221.029453964,43293.3284832306,21981.7623696144
"204","Gonyaulax polygrama","Plankton",32.5,5.6,19.0792561856668,5.78130580542745
"205","Gymnodinium catenatum","Plankton",33.9,5.6,19.8595884997485,6.04465225260043
"206","Gymnodinium gracilentum","Plankton",9.1,8.5,5.58616515279922,1.47943994011788
"207","Gymnodinium smaydae","Plankton",10.5,9.5,6.42471500720667,1.72748555263623
"208","Gymnodinium sp.","Plankton",6,8,3.70858074359215,0.93981847338625
"209","Gyrodinium auroleum","Plankton",19.4,5.6,11.6468038511903,3.34175208335857
"210","Gyrodinium dominans","Plankton",20,12.1,11.9931001471203,3.4522170935177
"211","Gyrodinium dominans","Plankton",20,5.4,11.9931001471203,3.4522170935177
"212","Gyrodinium dominans","Plankton",25,10.9,14.855319916024,4.37822386135602
"213","Gyrodinium fusiforme","Plankton",16.1,10.9,9.73016586010118,2.73729793590635
"214","Gyrodinium galatheanum","Plankton",11,5.6,6.72291242615955,1.81658590275222
"215","Gyrodinium moestrupii","Plankton",18.4,21.9,11.0681927425831,3.15800680751824
"216","Gyrodinium spirale","Plankton",31.8,12.1,18.6881831242666,5.64978287580412
"217","Gyrodinium spirale","Plankton",28,32,16.5541527933509,4.93773298126188
"218","Halichoerus grypus","Mammals",1339678.10402195,267300.923514395,68696.448060515,234018.115366549
"219","Halicyclops magniceps","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"220","Halteria cf. Grandinella","Plankton",19.3,1.4543039572249,2.67180934851623,3.32335678039227
"221","Harpacticus chelifer","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"222","Harpacticus gracilis","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"223","Hemitripterus americanus","Fish",98085.6355656716,32076.1108217274,19390.2467266584,18138.1695491519
"224","Heterocapsa steinii","Plankton",25,10.9,14.855319916024,4.37822386135602
"225","Heterocapsa triquetra","Plankton",15,5.6,9.0864725699679,2.53714748916758
"226","Heteromysis formosa","Invertebrate",1820.51150767554,424.667067731039,784.800581503897,320.55856296632
"227","Heterophoxus videns","Invertebrate",3897.51405962576,16377.3289129262,1679.84147535763,714.038227884212
"228","Hexagrammos decagrammus","Fish",12589.1862131223,417.985994028805,935.960976615964,2052.53794894327
"229","Hippopodius hippopus","Jellyfish",3300,1122.49721603218,1040.85102191418,545.183574662674
"230","Hydroporus erythrocephalus","Invertebrate",4490.14025006013,4383.42239767513,1932.47646335198,827.528433993511
"231","Hydrurga leptonyx","Mammals",533335.459444651,457439.636138768,211940.407663563,87065.7323050791
"232","Hygophum benoiti","Fish",1988.87856184938,118.511703180096,128.614744350706,267.455242910258
"233","Hyperia galba","Invertebrate",2418.00934861342,616.480222073676,1043.85306399992,432.755053579552
"234","Hyperia macrocephala","Invertebrate",9291.45132338793,6442.33253015115,3941.86747791392,1753.39620387588
"235","Hyperiella dilatata","Invertebrate",2216.28399975228,2190.0533228654,956.53255965905,394.749642159615
"236","Hyperoodon ampullatus","Mammals",845279.738971949,57588.2382296972,63976.0794089303,143075.484107337
"237","Illybius fuliginosus","Invertebrate",10747.4370846897,7332.24593664384,4540.12828429573,2034.92667402869
"238","Iphimedia minuta","Invertebrate",1488.46772539981,15464.899488884,640.327069148125,258.802645455128
"239","Iphimedia nexa","Invertebrate",2557.35215102886,15464.899488884,1104.08489077467,459.070174453401
"240","Iphimedia perplexa","Invertebrate",1820.50901056818,15464.899488884,784.799496294888,320.558096673843
"241","Jehlius cirratus nuplii","Invertebrate",460,21.9089023002066,10.9891159721646,72.9891447287771
"242","Karlodinium armiger","Plankton",16.7,10.7,10.080220558719,2.84677319142483
"243","Karlodinium armiger","Plankton",14.9,9.8,9.02782826205103,2.5189894789736
"244","Karlodinium veneficum","Plankton",11,6.6,6.72291242615955,1.81658590275222
"245","Katodinium glaucum","Plankton",21.5,10.9,12.8560861280595,3.72904306478538
"246","Kogia breviceps","Mammals",2292629.05787855,72499.2965278222,74206.6341483372,413025.994307754
"247","Labidocera aestiva","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"248","Labidocera wollastoni","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"249","Lagenorhynchus obliquidens","Mammals",912712.06736076,57588.2382296972,64760.6370630164,155353.304814884
"250","Lampanyctus crocodilus","Fish",1264.55707802187,86.8954647211419,96.9660798351727,160.347634730049
"251","Lebbeus polaris","Invertebrate",4592.14224936319,737.439567986421,1975.8439778031,847.093972063793
"252","Lepidorhombus whiffiagonis","Fish",94669.3956593584,22966.9466112342,19037.4535287277,17482.20266405
"253","Leptodora kindtii","Invertebrate",2057.41581307297,349.743618236094,887.662007561877,364.903568762796
"254","Leptonychotes weddellii","Mammals",621823.492826381,62182.3492826381,60852.8337355385,102796.709759499
"255","Liljeborgia georgiana","Invertebrate",10406.0153720115,13184.4153010177,4400.24220744806,1968.90552523593
"256","Limacina helicina","Invertebrate",2128.2883212486,424.667067731039,918.396715150216,378.20825502485
"257","Limacina helicina antarctica","Invertebrate",564.126381952139,2203.24673341026,237.276978837457,91.1443419976426
"258","Lingulodinium polyedra","Plankton",36.6,12.1,21.3579282584814,6.55358378233972
"259","Lingulodinium polyedrum","Plankton",36.6,25.1,21.3579282584814,6.55358378233972
"260","Liriope tetraphylla","Invertebrate",4592.14224936319,689.84497523783,1975.8439778031,847.093972063793
"261","Lissodelphis borealis","Mammals",912712.06736076,45743.9636138768,64760.6370630164,155353.304814884
"262","Lobodon carcinophaga","Mammals",621823.492826381,31164.9996174102,6485.92502741796,102796.709759499
"263","Lohmaniella spiralis","Plankton",66,9.7,7.92789688844164,12.1536962507569
"264","Lohmanniella oviformis","Plankton",25,3.95979797464467,3.36834644120037,4.37822386135602
"265","Loligo pealeii","Fish",48617.6313711829,9138.9721509554,3948.9962970434,8702.2289858952
"266","Lontra canadensis","Mammals",782829.396769739,57588.2382296972,8857.98119064189,131750.860284205
"267","Lophius americanus","Fish",165629.627407806,50787.1754677351,25353.4530358569,31160.9312365033
"268","Lophius budegassa","Fish",75931.9017922341,29722.8760148323,16971.7151084015,13893.0579417034
"269","Lophius piscatorius","Fish",113366.299699933,53991.7118420953,20894.2857057984,21076.743521315
"270","Luciella masanensis","Plankton",13.5,6.1,8.20450535043276,2.26548797438994
"271","Lumbrinereis","Invertebrate",17930.117302699,9888.60445408933,7433.89063875226,3422.17662380795
"272","Lumpenella longirostris","Fish",3047.40603102771,170.596179922546,197.729243496037,431.340123422024
"273","Lumpenus sagitta","Fish",2757.11857734324,188.64903614176,176.887768539465,385.729520319149
"274","Lyrocteis flavopallidus","Jellyfish",7132.66225010711,943.665370360165,1481.12736835739,1245.56470275654
"275","Martialia hyadesi","Invertebrate",85737.6888612011,41528.3059207708,32390.975314826,16178.4174926037
"276","Mediomastus fragile","Invertebrate",148,6.9,5.14717359632554,20.885482095082
"277","Megaptera novaeangliae","Mammals",267300.923514395,9855.23820692924,6014.76037176786,40969.1632695623
"278","Melphidippa antarctica","Invertebrate",9646.42544023908,15366.8549839116,4088.14610214754,1822.02829062132
"279","Mercenaria mercenaria","Invertebrate",100,4.1,3.93400880150464,13.4620545092788
"280","Merlangius merlangus","Fish",81281.2023970053,28024.7118996212,17586.2253390827,14915.9918169227
"281","Merluccius bilinearis","Fish",67127.515280302,26730.0923514395,15909.2322207773,12213.1750286501
"282","Merluccius merluccius","Fish",72530.0197121779,39836.8695984448,16569.1601296532,13243.3795735291
"283","Merluccius productus","Fish",3548.06824344012,120.273974453747,234.095083329304,510.963165827101
"284","Mertensia ovum","Jellyfish",7019.14647547967,1148.60000116914,1470.48774091842,1224.49118248374
"285","Mesocyclops edax","Invertebrate",267.300923514395,151.757730259811,108.948515848983,40.2406867472974
"286","Mesonychoteuthis hamiltoni","Invertebrate",594471.932086806,113718.38961718,185791.688711969,102625.938582174
"287","Mesoplodon carlhubbsi","Mammals",3923440.99769132,72499.2965278222,79651.3606374488,724331.184738609
"288","Mesoplodon densirostris","Mammals",1446551.14223718,67142.9562905789,69484.8397572409,253901.810431079
"289","Mesoplodon layardii","Mammals",1240700.9817988,67142.9562905789,67908.200039772,215663.508074816
"290","Mesoplodon mirus","Mammals",1339678.10402195,31164.9996174102,68696.448060515,234018.115366549
"291","Metridia gerlachei","Invertebrate",1637.73289129262,2190.0533228654,705.314107051051,286.499413237655
"292","Metridia princeps","Invertebrate",1216.96814734343,424.667067731039,521.976153681497,208.753876322501
