,"name","specie","esd","opt","type","group","kingdom","phylum","class","order","family","genus"
"113","Bunodosoma caissarum","Bunodosoma caissarum",15175.7730259811,2673.00923514395,"sessile predacious","Invertebrate","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Bunodosoma"
"114","Bunodosoma cangicum","Bunodosoma cangicum",15092.3879748131,11068.4440852553,"sessile predacious","Invertebrate","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Bunodosoma"
"115","Calanoides acutus","Calanoides acutus",2190.0533228654,1952.93892467575,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanoides"
"116","Calanus finmarchicus","Calanus finmarchicus",855,80,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"117","Calanus finnmarchicus","Calanus finnmarchicus",737.439567986421,890.705978299812,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"118","Calanus helgolandicus","Calanus helgolandicus",737.439567986421,616.480222073676,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"119","Calanus pacificus C1","Calanus pacificus C1",289,28.7,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"12","Acartia hudsonica","Acartia hudsonica",689.84497523783,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"120","Calanus pacificus N5","Calanus pacificus N5",237,28.7,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"121","Calanus propinquus","Calanus propinquus",2216.28399975228,2190.0533228654,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus"
"122","Callianira antarctica","Callianira antarctica",22032.4673341026,943.665370360165,"Ctenophora","Jellyfish","Animalia","Ctenophora","Tentaculata","Cydippida","Cydippida incertae sedis","Callianira"
"123","Callinectes sapidus","Callinectes sapidus",89865.9131070047,2826.79517659093,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes"
"124","Callochiton gaussi","Callochiton gaussi",1080.22718965565,10963.5236086462,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Callochitonida","Callochitonidae","Callochiton"
"125","Callorhinus ursinus","Callorhinus ursinus",2886248.98078103,78282.939676974,"Fish","Mammals","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Callorhinus"
"126","Calopteryx splendens","Calopteryx splendens",1459.29524495456,650.947424817851,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"127","Calopteryx virgo","Calopteryx virgo",1873.01635249824,690.565273703897,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"128","Cancer borealis","Cancer borealis",72556.6335719562,7459.95710475882,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"129","Cancer irroratus","Cancer irroratus",70052.6594964442,7459.95710475882,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"13","Acartia tonsa","Acartia tonsa",689.84497523783,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"131","Cancer pagurus","Cancer pagurus",10061.9483186382,4041.92132186846,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"132","Canuella elongata","Canuella elongata",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Polyarthra","Canuellidae","Canuella"
"133","Caperea marginata","Caperea marginata",457439.636138768,2475.52391312804,"Zooplankton","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Neobalaenidae","Caperea"
"134","Caprella fretensis","Caprella fretensis",2557.35215102886,640.794357169306,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella"
"135","Caprella linearis","Caprella linearis",3695.95689469996,563.92626615601,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella"
"136","Caprella penantis","Caprella penantis",4041.92697217237,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella"
"137","Carangoides sp.","Carangoides sp.",1911.31335867898,164.760645198199,"predacious","Fish","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides"
"138","Carangoides sp.","Carangoides sp.",1911.31335867898,164.760645198199,"swimming predacious","Invertebrate","Animalia","Platyhelminthes","Monogenea","Mazocraeidea","Heteraxinidae","Carangoides"
"139","Carcharhinus isodon ","Carcharhinus isodon ",218310.275486686,36554.8214521992,"piscivorous","Fish","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"14","Acartia tonsa","Acartia tonsa",444,32,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"140","Carcharhinus limbatus","Carcharhinus limbatus",200178.250518496,36792.4368297071,"piscivorous","Fish","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"141","Carcinus maenas","Carcinus maenas",6301.21393035292,3403.87663066915,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus"
"142","Caryophyllia smithii","Caryophyllia smithii",3457.42587624338,616.480222073676,"sessile predacious","Invertebrate","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia"
"143","Centropages furcatus","Centropages furcatus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"144","Centropages hamatus","Centropages hamatus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"145","Centropages typicus","Centropages typicus",559,32,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages"
"146","Cephalorhynchus commersonii","Cephalorhynchus commersonii",3923440.99769132,78282.939676974,"Fish","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus"
"147","Cephalorhynchus heavisidii","Cephalorhynchus heavisidii",533335.459444651,98552.3820692924,"Fish","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus"
"148","Cephalorhynchus hectori","Cephalorhynchus hectori",533335.459444651,114903.641525165,"Fish","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus"
"149","Ceratoscopelus maderensis","Ceratoscopelus maderensis",1565.89012176925,60.3852690444299,"planktivorous","Fish","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Ceratoscopelus"
"15","Acartia tonsa C3-C4","Acartia tonsa C3-C4",279,14.5,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"150","Ceratoserolis meridionalis","Ceratoserolis meridionalis",30598.3174194587,11565.4392624423,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Isopoda","Serolidae","Ceratoserolis"
"151","Cerithiopsis tubercularis","Cerithiopsis tubercularis",1658.05807076842,15464.899488884,"walking predacious","Invertebrate","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiopsidae","Cerithiopsis"
"152","chaetopleura peruviana","chaetopleura peruviana",7005.26594964442,4570.78149734083,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Chaetopleuridae","Chaetopleura"
"153","Chaetopteryx villosa","Chaetopteryx villosa",1583.56726890388,604.56940227289,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"154","Chaoborys punctipennis","Chaoborys punctipennis",737.462980252866,91.4156299468167,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"155","Charybdis natator","Charybdis natator",41407.9869988798,13994.2972012033,"walking predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Charybdis"
"156","Chelophyes appendiculata","Chelophyes appendiculata",400,400,"Siphonophorae","Jellyfish","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes"
"157","Chionodraco rastrospinosus","Chionodraco rastrospinosus",5885.58659375564,3564.42806646111,"predacious","Fish","Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Chionodraco"
"158","chiton  cummingii","chiton  cummingii",25049.5774472811,4570.78149734083,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Chiton"
"159","chiton  granosus","chiton  granosus",16377.3289129262,4570.78149734083,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Chiton"
"16","Acartia tonsa females","Acartia tonsa females",499,14.8,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"160","chiton  latus","chiton  latus",4857.18012601056,4570.78149734083,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Chiton"
"163","Chloroperla tripunctata","Chloroperla tripunctata",1118.33157537767,885.864278122472,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"164","Chorismus antarcticus","Chorismus antarcticus",7374.62980252866,9646.42544023908,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Chorismus"
"165","Chrysaora quinquecirrha","Chrysaora quinquecirrha",31622.7766016838,5477.22557505166,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora"
"166","Chrysaora quinquecirrha","Chrysaora quinquecirrha",10666.7091901272,424.667067731039,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora"
"167","Chrysaora quinquecirrha","Chrysaora quinquecirrha",5000,15811.3883008419,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora"
"168","Chrysaora quinquecirrha","Chrysaora quinquecirrha",46957.4275274956,3162.27766016838,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora"
"169","Chrysomonad","Chrysomonad",3.4,0.848528137423857,"Flagellate","Plankton","NA","NA","NA","NA","NA","NA"
"17","Acartia tonsa males","Acartia tonsa males",453,14.5,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"170","Clavularia frankiliana","Clavularia frankiliana",5455.15089104875,943.665370360165,"sessile predacious","Invertebrate","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Clavulariidae","Clavularia"
"171","Clinocera stagnalis","Clinocera stagnalis",412.30868275353,462.498553880529,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"172","Clio pyramidata","Clio pyramidata",3190.19159401085,2203.24673341026,"swimming predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio"
"173","Clione limacina","Clione limacina",4592.14224936319,424.667067731039,"swimming predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione"
"174","Clupea harengus","Clupea harengus",60871.9328164516,8076.13919075489,"piscivorous","Fish","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea"
"175","Clupea pallasii","Clupea pallasii",17126.7710401857,255.687021865958,"planktivorous","Fish","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea"
"176","Clytemnestra rostrata","Clytemnestra rostrata",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Harpacticoida","Peltidiidae","Clytemnestra"
"177","Cochlodinium polykrikoides","Cochlodinium polykrikoides",25.8,5.6,"Dinoflagellates","Plankton","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium"
"178","Colomastix pusilla","Colomastix pusilla",1310.11213614931,15464.899488884,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Colomastigidae","Colomastix"
"179","Colossendeis scotti","Colossendeis scotti",19189.678582679,22032.4673341026,"walking predacious","Invertebrate","Animalia","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis"
"18","Acartia tonsa N2-N3","Acartia tonsa N2-N3",112,7,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"180","Conchoecia antipoda","Conchoecia antipoda",943.665370360165,1637.73289129262,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"181","Conchoecia hettacra","Conchoecia hettacra",943.665370360165,1637.73289129262,"swimming predacious","Invertebrate","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia"
"182","concholepas concholepas","concholepas concholepas",16377.3289129262,16861.3250108054,"walking predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Concholepas"
"183","Concholepas concholepas","Concholepas concholepas",1700,24.4948974278318,"Meroplankton","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Concholepas"
"184","Concholepas concholepas","Concholepas concholepas",247,20,"Meroplankton","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Concholepas"
"185","Cordulegaster boltonii","Cordulegaster boltonii",1749.12852723077,1073.21318925587,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"186","Cordylophora caspia","Cordylophora caspia",10666.69470961,616.480222073676,"sessile predacious","Invertebrate","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cordylophoridae","Cordylophora"
"187","Corycaeus amazonicus","Corycaeus amazonicus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus"
"188","Corycaeus speciosus","Corycaeus speciosus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus"
"189","Corycaeus venustus","Corycaeus venustus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus"
"19","Acartia tonsa N2-N3","Acartia tonsa N2-N3",100,7.2,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"190","Costachorema xanthoptera","Costachorema xanthoptera",593.577076412624,502.155590469865,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"191","Crangon crangon","Crangon crangon",16289.4121108199,2281.22735315674,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon"
"192","Crangonyx pseudogracilis","Crangonyx pseudogracilis",1610.59049516988,837.219953664176,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"193","Crassotrea virginica","Crassotrea virginica",211.329127192633,4.24264068711929,"Meroplankton","Invertebrate","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"194","Crassotrea virginica","Crassotrea virginica",274.59060435492,7.74596669241483,"Meroplankton","Invertebrate","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"195","Crassotrea virginica","Crassotrea virginica",114.647285183732,4,"Meroplankton","Invertebrate","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"196","Cratena pilata","Cratena pilata",689.84497523783,7459.95710475882,"walking predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Cratena"
"197","Crepidula fornicata","Crepidula fornicata",4592.14224936319,424.667067731039,"walking predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula"
"198","Crossaster papposus","Crossaster papposus",9124.17162491263,3930.68564668833,"walking predacious","Invertebrate","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Crossaster"
"199","Ctenocidaris gigantea","Ctenocidaris gigantea",31263.7056718709,19776.6229515266,"walking predacious","Invertebrate","Animalia","Echinodermata","Echinoidea","Cidaroida","Ctenocidaridae","Ctenocidaris"
"2","Abyla trigona","Abyla trigona",2500,1183.21595661992,"Siphonophorae","Jellyfish","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Abylidae","Abyla"
"20","Acartia tonsa N2-N3","Acartia tonsa N2-N3",97,6.8,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"200","Ctenocidaris gilberti","Ctenocidaris gilberti",31263.7056718709,16377.3289129262,"walking predacious","Invertebrate","Animalia","Echinodermata","Echinoidea","Cidaroida","Ctenocidaridae","Ctenocidaris"
"201","Ctenocidaris perrieri","Ctenocidaris perrieri",30598.3174194587,19776.6229515266,"walking predacious","Invertebrate","Animalia","Echinodermata","Echinoidea","Cidaroida","Ctenocidaridae","Ctenocidaris"
"202","Ctenocidaris spinosa","Ctenocidaris spinosa",18090.6577380077,16377.3289129262,"walking predacious","Invertebrate","Animalia","Echinodermata","Echinoidea","Cidaroida","Ctenocidaridae","Ctenocidaris"
"203","Cyanaea capilata","Cyanaea capilata",99297.5326984513,8944.27190999916,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea"
"204","Cyanea capillata","Cyanea capillata",10666.7091901272,1310.11510338598,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea"
"205","Cyclops bicuspidatus","Cyclops bicuspidatus",390.796320898386,410.049411747408,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"206","Cyclops scutifer","Cyclops scutifer",349.743618236094,151.757730259811,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"207","Cyclops varians rubellus","Cyclops varians rubellus",359.857369777155,70.0526594964442,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"208","Cyclops vernalis","Cyclops vernalis",349.743618236094,160.874035846574,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"209","Cyclosalpa affinis","Cyclosalpa affinis",13700,11.747340124471,"Salp","Jellyfish","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Cyclosalpa"
"21","Acartia tonsa N4-N5","Acartia tonsa N4-N5",135,4,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"210","Cyclosalpa bakeri","Cyclosalpa bakeri",31622.7766016838,22.360679774998,"Salp","Jellyfish","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Cyclosalpa"
"211","Cyllopus lucasii","Cyllopus lucasii",8486.27534357644,1536.68549839116,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyllopodidae","Cyllopus"
"212","Cynoglossus sp.","Cynoglossus sp.",1133.18726137329,109.941569873093,"predacious","Fish","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus"
"213","Cynoscion regalis","Cynoscion regalis",72218.884732413,13899.7139250306,"piscivorous","Fish","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Cynoscion"
"214","Cystophora cristata","Cystophora cristata",457439.636138768,6218.23492826382,"Fish","Mammals","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Cystophora"
"215","Daphnia cuculata","Daphnia cuculata",284,7,"sessile herbivorous","Invertebrate","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia"
"216","Daphnia cucullata","Daphnia cucullata",810,11.1803398874989,"sessile herbivorous","Invertebrate","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia"
"217","Daphnia cucullata","Daphnia cucullata",678.574977434329,19.3649167310371,"sessile herbivorous","Invertebrate","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia"
"218","Daphnia longispina","Daphnia longispina",297,6,"sessile herbivorous","Invertebrate","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia"
"219","Daphnia longispina adults","Daphnia longispina adults",2400,3.87298334620742,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"22","Acodontaster capitatus","Acodontaster capitatus",21766.9900715869,38551.464208141,"walking predacious","Invertebrate","Animalia","Echinodermata","Asteroidea","Valvatida","Odontasteridae","Acodontaster"
"220","Daphnia longispina juveniles","Daphnia longispina juveniles",700,2.82842712474619,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"221","Delphinapterus leucas","Delphinapterus leucas",912712.06736076,6218.23492826382,"Fish","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus"
"222","Delphinus delphis","Delphinus delphis",3116499.96174102,84527.9738971949,"Fish","Mammals","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus"
"223","Dendrocoelum lacteum","Dendrocoelum lacteum",1563.39289912956,1708.18661293356,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"224","Desmonema glaciale","Desmonema glaciale",53460.184702879,5611.09605663569,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Desmonema"
"225","Diacyclops thomasi","Diacyclops thomasi",510.352452090453,424.667067731039,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"226","Diaphus garmani","Diaphus garmani",1926.11571998889,137.471295456949,"planktivorous","Fish","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus"
"227","Diaptomus graciloides","Diaptomus graciloides",325,31,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"228","Diaptomus sicilis","Diaptomus sicilis",398,14.1,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"229","Dicata odhneri","Dicata odhneri",2557.35215102886,5346.65323460896,"swimming predacious","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Dicata"
"23","Acodontaster conspicuus","Acodontaster conspicuus",18471.6251125732,38551.464208141,"walking predacious","Invertebrate","Animalia","Echinodermata","Asteroidea","Valvatida","Odontasteridae","Acodontaster"
"230","Dicentrarchus labrax","Dicentrarchus labrax",7897.29982648137,646.556376516353,"predacious","Fish","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus"
"231","Dicranota exclusa","Dicranota exclusa",841.543519473988,462.498553880529,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"232","Dimophyes arctica","Dimophyes arctica",6592.20765050887,1588.81582727107,"Siphonophorae","Jellyfish","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes"
"233","Dinophysis acuminata","Dinophysis acuminata",35,22,"Dinoflagellates","Plankton","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysaceae","Dinophysis"
"234","Diosaccus tenuicornis","Diosaccus tenuicornis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Harpacticoida","Miraciidae","Diosaccus"
"235","Diphyes antarctica","Diphyes antarctica",6592.20765050887,1588.81582727107,"Siphonophorae","Jellyfish","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Diphyes"
"236","Diphyes dispar","Diphyes dispar",900,600,"Siphonophorae","Jellyfish","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Diphyes"
"237","Diplasterias brucei","Diplasterias brucei",17487.1809118047,3251.55642083574,"walking predacious","Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Diplasterias"
"238","Diplectrona felix","Diplectrona felix",1447.47902078572,789.002532947303,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"239","Diplopsalis lenticula","Diplopsalis lenticula",31,35.2,"Dinoflagellates","Plankton","Chromista","Myzozoa","Dinophyceae","Peridiniales","Protoperidiniaceae","Diplopsalis"
"24","Acodontaster hodgsoni","Acodontaster hodgsoni",19529.3892467575,38551.464208141,"walking predacious","Invertebrate","Animalia","Echinodermata","Asteroidea","Valvatida","Odontasteridae","Acodontaster"
"240","Dipulmaris antarctica","Dipulmaris antarctica",16136.4508502764,3190.19159401085,"Scyphozoa","Jellyfish","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Diplulmaris"
"241","Dolioletta gegenbauri","Dolioletta gegenbauri",10000,14.282856857086,"Salp","Jellyfish","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Dolioletta"
"242","Doliolum denticulatum","Doliolum denticulatum",1480,8.660254037844,"Salp","Jellyfish","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Doliolum"
"243","Dytiscus marginalis","Dytiscus marginalis",21242.8097542217,7816.96840257118,"swimming predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
